loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F07Q10314095,C,0.0015,0.002
F07Q10314096,H,0.0236,0.0267
F07Q10314124,G,0.0129,0.0143
F07Q10314146,F,0.0098,0.011
F07Q10314149,F,0.0098,0.011
F07Q10314156,C,0.0015,0.002
F07Q10314221,H,0.0236,0.0267
F07Q10314272,D,0.0025,0.0031
F07Q10314277,C,0.0015,0.002
F07Q10314398,G,0.0129,0.0143
F07Q10314430,H,0.0236,0.0267
F07Q10314447,E,0.006,0.0069
F07Q10314482,F,0.0098,0.011
F07Q10314513,D,0.0025,0.0031
F07Q10314535,G,0.0129,0.0143
F07Q10314571,E,0.006,0.0069
F07Q10314592,E,0.006,0.0069
F07Q10314649,D,0.0025,0.0031
F07Q10314650,C,0.0015,0.002
F07Q10314653,H,0.0236,0.0267
F07Q10314656,H,0.0236,0.0267
F07Q10314724,E,0.006,0.0069
F07Q10314738,D,0.0025,0.0031
F07Q10314747,E,0.006,0.0069
F07Q10314755,H,0.0236,0.0267
F07Q10314761,G,0.0129,0.0143
F07Q10314801,H,0.0236,0.0267
F07Q10314842,B,0.0012,0.0016
F07Q10314889,H,0.0236,0.0267
F07Q10315005,G,0.0129,0.0143
F07Q10315013,G,0.0129,0.0143
F07Q10315053,A,0.0005,0.0008
F07Q10315078,H,0.0236,0.0267
F07Q10315087,B,0.0012,0.0016
F07Q10315099,F,0.0098,0.011
F07Q10315143,G,0.0129,0.0143
F07Q10315206,B,0.0012,0.0016
F07Q10315295,G,0.0129,0.0143
F07Q10315366,G,0.0129,0.0143
F07Q10315383,C,0.0015,0.002
F07Q10315387,H,0.0236,0.0267
F07Q10315392,A,0.0005,0.0008
F07Q10315395,G,0.0129,0.0143
F07Q10315446,F,0.0098,0.011
F07Q10315459,C,0.0015,0.002
F07Q10315539,D,0.0025,0.0031
F07Q10315627,G,0.0129,0.0143
F07Q10315653,G,0.0129,0.0143
F07Q10315661,F,0.0098,0.011
F07Q10315662,F,0.0098,0.011
F07Q10315800,B,0.0012,0.0016
F07Q10315846,E,0.006,0.0069
F07Q10315869,F,0.0098,0.011
F07Q10315871,F,0.0098,0.011
F07Q10315971,H,0.0236,0.0267
F07Q10315982,C,0.0015,0.002
F07Q10315983,H,0.0236,0.0267
F07Q10316002,E,0.006,0.0069
F07Q10316018,H,0.0236,0.0267
F07Q10316071,G,0.0129,0.0143
F07Q10316109,H,0.0236,0.0267
F07Q10316155,E,0.006,0.0069
F07Q10316182,D,0.0025,0.0031
F07Q10316363,F,0.0098,0.011
F07Q10316423,B,0.0012,0.0016
F07Q10316433,H,0.0236,0.0267
F07Q10316437,B,0.0012,0.0016
F07Q10316587,E,0.006,0.0069
F07Q10316595,G,0.0129,0.0143
F07Q10316601,C,0.0015,0.002
F07Q10316613,E,0.006,0.0069
F07Q10316811,G,0.0129,0.0143
F07Q10316819,B,0.0012,0.0016
F07Q10316826,E,0.006,0.0069
F07Q10316880,C,0.0015,0.002
F07Q10316881,G,0.0129,0.0143
F07Q10316892,G,0.0129,0.0143
F07Q10316897,E,0.006,0.0069
F07Q10317054,D,0.0025,0.0031
F07Q10317059,E,0.006,0.0069
F07Q10317087,G,0.0129,0.0143
F07Q10317134,C,0.0015,0.002
F07Q10317181,D,0.0025,0.0031
F07Q10317208,B,0.0012,0.0016
F07Q10317252,H,0.0236,0.0267
F07Q10317313,E,0.006,0.0069
F07Q10317357,G,0.0129,0.0143
F07Q10317522,C,0.0015,0.002
F07Q10317526,A,0.0005,0.0008
F07Q10317559,C,0.0015,0.002
F07Q10317643,G,0.0129,0.0143
F07Q10317647,H,0.0236,0.0267
F07Q10317667,G,0.0129,0.0143
F07Q10317706,C,0.0015,0.002
F07Q10317720,C,0.0015,0.002
F07Q10317728,H,0.0236,0.0267
F07Q10317734,D,0.0025,0.0031
F07Q10317864,G,0.0129,0.0143
F07Q10317883,F,0.0098,0.011
F07Q10317893,C,0.0015,0.002
F07Q10317988,E,0.006,0.0069
F07Q10318005,G,0.0129,0.0143
F07Q10318011,H,0.0236,0.0267
F07Q10318056,G,0.0129,0.0143
F07Q10318061,D,0.0025,0.0031
F07Q10318107,G,0.0129,0.0143
F07Q10318126,H,0.0236,0.0267
F07Q10318133,E,0.006,0.0069
F07Q10318138,B,0.0012,0.0016
F07Q10318177,G,0.0129,0.0143
F07Q10318187,G,0.0129,0.0143
F07Q10318192,G,0.0129,0.0143
F07Q10318197,E,0.006,0.0069
F07Q10318204,B,0.0012,0.0016
F07Q10318230,E,0.006,0.0069
F07Q10318231,B,0.0012,0.0016
F07Q10318506,C,0.0015,0.002
F07Q10318548,C,0.0015,0.002
F07Q10318566,C,0.0015,0.002
F07Q10318582,B,0.0012,0.0016
F07Q10318586,A,0.0005,0.0008
F07Q10318604,C,0.0015,0.002
F07Q10318623,A,0.0005,0.0008
F07Q10318683,G,0.0129,0.0143
F07Q10318703,H,0.0236,0.0267
F07Q10318711,E,0.006,0.0069
F07Q10318725,A,0.0005,0.0008
F07Q10318746,B,0.0012,0.0016
F07Q10318748,A,0.0005,0.0008
F07Q10318800,H,0.0236,0.0267
F07Q10318855,E,0.006,0.0069
F07Q10318897,G,0.0129,0.0143
F07Q10318920,D,0.0025,0.0031
F07Q10319038,B,0.0012,0.0016
F07Q10319068,G,0.0129,0.0143
F07Q10319082,H,0.0236,0.0267
F07Q10319098,B,0.0012,0.0016
F07Q10319165,C,0.0015,0.002
F07Q10319202,C,0.0015,0.002
F07Q10319214,A,0.0005,0.0008
F07Q10319222,B,0.0012,0.0016
F07Q10319237,D,0.0025,0.0031
F07Q10319249,A,0.0005,0.0008
F07Q10319259,A,0.0005,0.0008
F07Q10319261,C,0.0015,0.002
F07Q10319275,A,0.0005,0.0008
F07Q10319304,A,0.0005,0.0008
F07Q10319305,C,0.0015,0.002
F07Q10319337,G,0.0129,0.0143
F07Q10319352,G,0.0129,0.0143
F07Q10319355,C,0.0015,0.002
F07Q10319561,B,0.0012,0.0016
F07Q10319603,D,0.0025,0.0031
F07Q10319655,F,0.0098,0.011
F07Q10319703,A,0.0005,0.0008
F07Q10319715,E,0.006,0.0069
F07Q10319826,E,0.006,0.0069
F07Q10319882,C,0.0015,0.002
F07Q10319997,H,0.0236,0.0267
F07Q10320121,H,0.0236,0.0267
F07Q10320130,B,0.0012,0.0016
F07Q10320181,D,0.0025,0.0031
F07Q10320193,H,0.0236,0.0267
F07Q10320199,A,0.0005,0.0008
F07Q10320208,G,0.0129,0.0143
F07Q10320257,F,0.0098,0.011
F07Q10320277,G,0.0129,0.0143
F07Q10320295,E,0.006,0.0069
F07Q10320309,G,0.0129,0.0143
F07Q10320315,H,0.0236,0.0267
F07Q10320335,E,0.006,0.0069
F07Q10320342,D,0.0025,0.0031
F07Q10320346,D,0.0025,0.0031
F07Q10320408,C,0.0015,0.002
F07Q10320450,H,0.0236,0.0267
F07Q10320573,C,0.0015,0.002
F07Q10320704,E,0.006,0.0069
F07Q10320734,H,0.0236,0.0267
F07Q10320758,G,0.0129,0.0143
F07Q10320774,E,0.006,0.0069
F07Q10320802,F,0.0098,0.011
F07Q10320814,A,0.0005,0.0008
F07Q10320825,E,0.006,0.0069
F07Q10320829,H,0.0236,0.0267
F07Q10320876,A,0.0005,0.0008
F07Q10320910,B,0.0012,0.0016
F07Q10320913,F,0.0098,0.011
F07Q10320931,F,0.0098,0.011
F07Q10320980,E,0.006,0.0069
F07Q10321034,F,0.0098,0.011
F07Q10321042,G,0.0129,0.0143
F07Q10321051,A,0.0005,0.0008
F07Q10321055,E,0.006,0.0069
F07Q10321094,C,0.0015,0.002
F07Q10321145,F,0.0098,0.011
F07Q10321172,H,0.0236,0.0267
F07Q10321175,H,0.0236,0.0267
F07Q10321182,H,0.0236,0.0267
F07Q10321242,G,0.0129,0.0143
F07Q10321249,H,0.0236,0.0267
F07Q10321255,A,0.0005,0.0008
F07Q10321259,G,0.0129,0.0143
F07Q10321266,G,0.0129,0.0143
F07Q10321275,H,0.0236,0.0267
F07Q10321282,G,0.0129,0.0143
F07Q10321286,D,0.0025,0.0031
F07Q10321370,A,0.0005,0.0008
F07Q10321382,G,0.0129,0.0143
F07Q10321461,E,0.006,0.0069
F07Q10321462,B,0.0012,0.0016
F07Q10321484,G,0.0129,0.0143
F07Q10321511,G,0.0129,0.0143
F07Q10321787,A,0.0005,0.0008
F07Q10322081,G,0.0129,0.0143
F07Q10322091,B,0.0012,0.0016
F07Q10322105,H,0.0236,0.0267
F07Q10322121,E,0.006,0.0069
F07Q10322168,A,0.0005,0.0008
F07Q10322205,A,0.0005,0.0008
F07Q10322210,E,0.006,0.0069
F07Q10322380,D,0.0025,0.0031
F07Q10322435,E,0.006,0.0069
F07Q10322740,A,0.0005,0.0008
F07Q10322745,B,0.0012,0.0016
F07Q10322838,C,0.0015,0.002
F07Q10322846,F,0.0098,0.011
F07Q10322956,F,0.0098,0.011
F07Q10322965,H,0.0236,0.0267
F07Q10323124,D,0.0025,0.0031
F07Q10323198,G,0.0129,0.0143
F07Q10323227,B,0.0012,0.0016
F07Q10323273,E,0.006,0.0069
F07Q10323327,F,0.0098,0.011
F07Q10323330,G,0.0129,0.0143
F07Q10323341,H,0.0236,0.0267
F07Q10323474,B,0.0012,0.0016
F07Q10323498,C,0.0015,0.002
F07Q10323502,C,0.0015,0.002
F07Q10323521,C,0.0015,0.002
F07Q10323524,A,0.0005,0.0008
F07Q10323530,D,0.0025,0.0031
F07Q10323545,A,0.0005,0.0008
F07Q10323577,B,0.0012,0.0016
F07Q10323593,D,0.0025,0.0031
F07Q10323597,A,0.0005,0.0008
F07Q10323669,D,0.0025,0.0031
F07Q10323691,C,0.0015,0.002
F07Q10323726,C,0.0015,0.002
F07Q10323736,A,0.0005,0.0008
F07Q10323741,E,0.006,0.0069
F07Q10323760,B,0.0012,0.0016
F07Q10323796,E,0.006,0.0069
F07Q10323839,F,0.0098,0.011
F07Q10323873,C,0.0015,0.002
F07Q10323882,G,0.0129,0.0143
F07Q10323893,F,0.0098,0.011
F07Q10323938,E,0.006,0.0069
F07Q10324177,G,0.0129,0.0143
F07Q10324218,D,0.0025,0.0031
F07Q10324223,E,0.006,0.0069
F07Q10324278,D,0.0025,0.0031
F07Q10324279,B,0.0012,0.0016
F07Q10324328,F,0.0098,0.011
F07Q10324331,G,0.0129,0.0143
F07Q10324368,F,0.0098,0.011
F07Q10324445,D,0.0025,0.0031
F07Q10324459,C,0.0015,0.002
F07Q10324469,B,0.0012,0.0016
F07Q10324505,B,0.0012,0.0016
F07Q10324516,C,0.0015,0.002
F07Q10324618,B,0.0012,0.0016
F07Q10324621,G,0.0129,0.0143
F07Q10324649,D,0.0025,0.0031
F07Q10324651,A,0.0005,0.0008
F07Q10324714,B,0.0012,0.0016
F07Q10324753,F,0.0098,0.011
F07Q10324754,E,0.006,0.0069
F07Q10324818,D,0.0025,0.0031
F07Q10324841,F,0.0098,0.011
F07Q10324851,C,0.0015,0.002
F07Q10324870,C,0.0015,0.002
F07Q10324922,A,0.0005,0.0008
F07Q10325022,F,0.0098,0.011
F07Q10325029,F,0.0098,0.011
F07Q10325033,H,0.0236,0.0267
F07Q10325064,A,0.0005,0.0008
F07Q10325082,H,0.0236,0.0267
F07Q10325099,G,0.0129,0.0143
F07Q10325106,F,0.0098,0.011
F07Q10325124,H,0.0236,0.0267
F07Q10325179,G,0.0129,0.0143
F07Q10325252,C,0.0015,0.002
F07Q10325253,G,0.0129,0.0143
F07Q10325261,D,0.0025,0.0031
F07Q10325299,G,0.0129,0.0143
F07Q10325310,A,0.0005,0.0008
F07Q10325319,D,0.0025,0.0031
F07Q10325437,G,0.0129,0.0143
F07Q10325481,E,0.006,0.0069
F07Q10325635,E,0.006,0.0069
F07Q10325703,H,0.0236,0.0267
F07Q10325752,H,0.0236,0.0267
F07Q10325796,F,0.0098,0.011
F07Q10325837,G,0.0129,0.0143
F07Q10325913,E,0.006,0.0069
F07Q10325967,H,0.0236,0.0267
F07Q10325973,H,0.0236,0.0267
F07Q10325990,H,0.0236,0.0267
F07Q10326020,H,0.0236,0.0267
F07Q10326023,G,0.0129,0.0143
F07Q10326024,G,0.0129,0.0143
F07Q10326027,A,0.0005,0.0008
F07Q10326030,H,0.0236,0.0267
F07Q10326089,B,0.0012,0.0016
F07Q10326178,D,0.0025,0.0031
F07Q10326191,B,0.0012,0.0016
F07Q10326206,F,0.0098,0.011
F07Q10326212,A,0.0005,0.0008
F07Q10326218,C,0.0015,0.002
F07Q10326237,A,0.0005,0.0008
F07Q10326330,D,0.0025,0.0031
F07Q10326335,B,0.0012,0.0016
F07Q10326391,E,0.006,0.0069
F07Q10326394,D,0.0025,0.0031
F07Q10326443,F,0.0098,0.011
F07Q10326502,E,0.006,0.0069
F07Q10326530,F,0.0098,0.011
F07Q10326621,H,0.0236,0.0267
F07Q10326632,H,0.0236,0.0267
F07Q10326639,G,0.0129,0.0143
F07Q10326649,B,0.0012,0.0016
F07Q10326737,D,0.0025,0.0031
F07Q10326794,D,0.0025,0.0031
F07Q10326833,H,0.0236,0.0267
F07Q10326843,C,0.0015,0.002
F07Q10326937,G,0.0129,0.0143
F07Q10326969,B,0.0012,0.0016
F07Q10327028,B,0.0012,0.0016
F07Q10327032,H,0.0236,0.0267
F07Q10327038,F,0.0098,0.011
F07Q10327081,H,0.0236,0.0267
F07Q10327089,F,0.0098,0.011
F07Q10327163,H,0.0236,0.0267
F07Q10327211,H,0.0236,0.0267
F07Q10327223,C,0.0015,0.002
F07Q10327262,A,0.0005,0.0008
F07Q10327271,G,0.0129,0.0143
F07Q10327330,D,0.0025,0.0031
F07Q10327354,H,0.0236,0.0267
F07Q10327361,B,0.0012,0.0016
F07Q10327400,C,0.0015,0.002
F07Q10327486,F,0.0098,0.011
F07Q10327512,C,0.0015,0.002
F07Q10327578,F,0.0098,0.011
F07Q10327593,H,0.0236,0.0267
F07Q10327620,H,0.0236,0.0267
F07Q10327684,H,0.0236,0.0267
F07Q10327820,H,0.0236,0.0267
F07Q10327830,D,0.0025,0.0031
F07Q10327937,B,0.0012,0.0016
F07Q10328227,G,0.0129,0.0143
F07Q10328273,G,0.0129,0.0143
F07Q10328312,D,0.0025,0.0031
F07Q10328448,E,0.006,0.0069
F07Q10328488,E,0.006,0.0069
F07Q10328530,G,0.0129,0.0143
F07Q10328567,F,0.0098,0.011
F07Q10328571,A,0.0005,0.0008
F07Q10328608,B,0.0012,0.0016
F07Q10328669,B,0.0012,0.0016
F07Q10328707,B,0.0012,0.0016
F07Q10328884,E,0.006,0.0069
F07Q10329004,H,0.0236,0.0267
F07Q10329015,A,0.0005,0.0008
F07Q10329180,F,0.0098,0.011
F07Q10329232,H,0.0236,0.0267
F07Q10329283,G,0.0129,0.0143
F07Q10329293,E,0.006,0.0069
F07Q10329295,D,0.0025,0.0031
F07Q10329320,H,0.0236,0.0267
F07Q10329327,D,0.0025,0.0031
F07Q10329330,H,0.0236,0.0267
F07Q10329363,H,0.0236,0.0267
F07Q10329370,E,0.006,0.0069
F07Q10329389,F,0.0098,0.011
F07Q10329412,H,0.0236,0.0267
F07Q10329475,E,0.006,0.0069
F07Q10329511,H,0.0236,0.0267
F07Q10329552,E,0.006,0.0069
F07Q10329555,H,0.0236,0.0267
F07Q10329596,G,0.0129,0.0143
F07Q10329673,C,0.0015,0.002
F07Q10329692,F,0.0098,0.011
F07Q10329695,E,0.006,0.0069
F07Q10329698,B,0.0012,0.0016
F07Q10329803,F,0.0098,0.011
F07Q10329814,G,0.0129,0.0143
F07Q10329827,B,0.0012,0.0016
F07Q10329837,B,0.0012,0.0016
F07Q10330037,H,0.0236,0.0267
F07Q10330038,B,0.0012,0.0016
F07Q10330053,E,0.006,0.0069
F07Q10330083,B,0.0012,0.0016
F07Q10330109,D,0.0025,0.0031
F07Q10330122,G,0.0129,0.0143
F07Q10330195,B,0.0012,0.0016
F07Q10330224,D,0.0025,0.0031
F07Q10330238,F,0.0098,0.011
F07Q10330275,F,0.0098,0.011
F07Q10330327,F,0.0098,0.011
F07Q10330351,H,0.0236,0.0267
F07Q10330376,E,0.006,0.0069
F07Q10330416,G,0.0129,0.0143
F07Q10330434,B,0.0012,0.0016
F07Q10330445,F,0.0098,0.011
F07Q10330457,H,0.0236,0.0267
F07Q10330502,A,0.0005,0.0008
F07Q10330507,B,0.0012,0.0016
F07Q10330562,G,0.0129,0.0143
F07Q10330672,G,0.0129,0.0143
F07Q10330957,D,0.0025,0.0031
F07Q10330985,E,0.006,0.0069
F07Q10331152,A,0.0005,0.0008
F07Q10331178,F,0.0098,0.011
F07Q10331194,C,0.0015,0.002
F07Q10331215,C,0.0015,0.002
F07Q10331218,G,0.0129,0.0143
F07Q10331234,D,0.0025,0.0031
F07Q10331271,F,0.0098,0.011
F07Q10331306,A,0.0005,0.0008
F07Q10331320,E,0.006,0.0069
F07Q10331331,D,0.0025,0.0031
F07Q10331435,A,0.0005,0.0008
F07Q10331454,H,0.0236,0.0267
F07Q10331473,F,0.0098,0.011
F07Q10331501,H,0.0236,0.0267
F07Q10331521,C,0.0015,0.002
F07Q10331664,G,0.0129,0.0143
F07Q10331711,D,0.0025,0.0031
F07Q10331780,D,0.0025,0.0031
F07Q10331796,G,0.0129,0.0143
F07Q10331954,F,0.0098,0.011
F07Q10331992,B,0.0012,0.0016
F07Q10332018,E,0.006,0.0069
F07Q10332091,A,0.0005,0.0008
F07Q10332119,F,0.0098,0.011
F07Q10332121,E,0.006,0.0069
F07Q10332166,F,0.0098,0.011
F07Q10332184,D,0.0025,0.0031
F07Q10332198,F,0.0098,0.011
F07Q10332211,D,0.0025,0.0031
F07Q10332231,G,0.0129,0.0143
F07Q10332246,H,0.0236,0.0267
F07Q10332301,E,0.006,0.0069
F07Q10332303,E,0.006,0.0069
F07Q10332311,G,0.0129,0.0143
F07Q10332329,G,0.0129,0.0143
F07Q10332339,F,0.0098,0.011
F07Q10332355,G,0.0129,0.0143
F07Q10332356,C,0.0015,0.002
F07Q10332367,G,0.0129,0.0143
F07Q10332381,F,0.0098,0.011
F07Q10332420,E,0.006,0.0069
F07Q10332423,B,0.0012,0.0016
F07Q10332428,H,0.0236,0.0267
F07Q10332461,F,0.0098,0.011
F07Q10332463,C,0.0015,0.002
F07Q10332466,G,0.0129,0.0143
F07Q10332486,D,0.0025,0.0031
F07Q10332515,F,0.0098,0.011
F07Q10332599,E,0.006,0.0069
F07Q10332661,D,0.0025,0.0031
F07Q10332692,H,0.0236,0.0267
F07Q10332701,C,0.0015,0.002
F07Q10332718,D,0.0025,0.0031
F07Q10332726,C,0.0015,0.002
F07Q10332729,F,0.0098,0.011
F07Q10332773,D,0.0025,0.0031
F07Q10332780,C,0.0015,0.002
F07Q10332789,H,0.0236,0.0267
F07Q10332790,F,0.0098,0.011
F07Q10332844,B,0.0012,0.0016
F07Q10332915,B,0.0012,0.0016
F07Q10332916,F,0.0098,0.011
F07Q10332928,E,0.006,0.0069
F07Q10332982,E,0.006,0.0069
F07Q10333001,E,0.006,0.0069
F07Q10333024,A,0.0005,0.0008
F07Q10333037,D,0.0025,0.0031
F07Q10333105,B,0.0012,0.0016
F07Q10333124,A,0.0005,0.0008
F07Q10333126,A,0.0005,0.0008
F07Q10333130,A,0.0005,0.0008
F07Q10333145,H,0.0236,0.0267
F07Q10333352,C,0.0015,0.002
F07Q10333354,B,0.0012,0.0016
F07Q10333385,D,0.0025,0.0031
F07Q10333490,F,0.0098,0.011
F07Q10333520,H,0.0236,0.0267
F07Q10333635,C,0.0015,0.002
F07Q10333670,F,0.0098,0.011
F07Q10333686,A,0.0005,0.0008
F07Q10333707,B,0.0012,0.0016
F07Q10333726,H,0.0236,0.0267
F07Q10333736,B,0.0012,0.0016
F07Q10333750,G,0.0129,0.0143
F07Q10333767,E,0.006,0.0069
F07Q10333902,C,0.0015,0.002
F07Q10333937,D,0.0025,0.0031
F07Q10333947,A,0.0005,0.0008
F07Q10333951,G,0.0129,0.0143
F07Q10333989,F,0.0098,0.011
F07Q10334000,E,0.006,0.0069
F07Q10334035,D,0.0025,0.0031
F07Q10334036,G,0.0129,0.0143
F07Q10334073,H,0.0236,0.0267
F07Q10334075,E,0.006,0.0069
F07Q10334079,H,0.0236,0.0267
F07Q10334085,E,0.006,0.0069
F07Q10334096,E,0.006,0.0069
F07Q10334218,B,0.0012,0.0016
F07Q10334240,B,0.0012,0.0016
F07Q10334258,F,0.0098,0.011
F07Q10334303,C,0.0015,0.002
F07Q10334332,G,0.0129,0.0143
F07Q10334484,H,0.0236,0.0267
F07Q10334501,B,0.0012,0.0016
F07Q10334510,H,0.0236,0.0267
F07Q10334517,G,0.0129,0.0143
F07Q10334525,F,0.0098,0.011
F07Q10334537,H,0.0236,0.0267
F07Q10334639,G,0.0129,0.0143
F07Q10334743,H,0.0236,0.0267
F07Q10334797,C,0.0015,0.002
F07Q10334918,C,0.0015,0.002
F07Q10334994,G,0.0129,0.0143
F07Q10334998,H,0.0236,0.0267
F07Q10335006,H,0.0236,0.0267
F07Q10335033,G,0.0129,0.0143
F07Q10335045,F,0.0098,0.011
F07Q10335054,G,0.0129,0.0143
F07Q10335076,E,0.006,0.0069
F07Q10335080,D,0.0025,0.0031
F07Q10335081,H,0.0236,0.0267
F07Q10335104,G,0.0129,0.0143
F07Q10335111,E,0.006,0.0069
F07Q10335148,G,0.0129,0.0143
F07Q10335257,F,0.0098,0.011
F07Q10335336,E,0.006,0.0069
F07Q10335347,D,0.0025,0.0031
F07Q10335348,A,0.0005,0.0008
F07Q10335422,H,0.0236,0.0267
F07Q10335476,G,0.0129,0.0143
F07Q10335540,H,0.0236,0.0267
F07Q10335556,D,0.0025,0.0031
F07Q10335565,G,0.0129,0.0143
F07Q10335680,E,0.006,0.0069
F07Q10335685,C,0.0015,0.002
F07Q10335687,B,0.0012,0.0016
F07Q10335695,G,0.0129,0.0143
F07Q10335706,B,0.0012,0.0016
F07Q10335720,H,0.0236,0.0267
F07Q10335743,B,0.0012,0.0016
F07Q10335744,H,0.0236,0.0267
F07Q10335750,A,0.0005,0.0008
F07Q10335755,H,0.0236,0.0267
F07Q10335812,F,0.0098,0.011
F07Q10335861,G,0.0129,0.0143
F07Q10335879,H,0.0236,0.0267
F07Q10335903,H,0.0236,0.0267
F07Q10335941,A,0.0005,0.0008
F07Q10335983,E,0.006,0.0069
F07Q10335985,G,0.0129,0.0143
F07Q10336041,E,0.006,0.0069
F07Q10336062,E,0.006,0.0069
F07Q10336103,G,0.0129,0.0143
F07Q10336144,B,0.0012,0.0016
F07Q10336152,G,0.0129,0.0143
F07Q10336163,H,0.0236,0.0267
F07Q10336171,F,0.0098,0.011
F07Q10336182,F,0.0098,0.011
F07Q10336204,G,0.0129,0.0143
F07Q10336206,H,0.0236,0.0267
F07Q10336212,G,0.0129,0.0143
F07Q10336218,F,0.0098,0.011
F07Q10336223,H,0.0236,0.0267
F07Q10336267,C,0.0015,0.002
F07Q10336307,G,0.0129,0.0143
F07Q10336317,D,0.0025,0.0031
F07Q10336329,B,0.0012,0.0016
F07Q10336334,H,0.0236,0.0267
F07Q10336337,E,0.006,0.0069
F07Q10336345,D,0.0025,0.0031
F07Q10336448,E,0.006,0.0069
F07Q10336499,G,0.0129,0.0143
F07Q10336534,G,0.0129,0.0143
F07Q10336546,C,0.0015,0.002
F07Q10336565,B,0.0012,0.0016
F07Q10336570,C,0.0015,0.002
F07Q10336605,G,0.0129,0.0143
F07Q10336622,E,0.006,0.0069
F07Q10336630,D,0.0025,0.0031
F07Q10336705,B,0.0012,0.0016
F07Q10336725,E,0.006,0.0069
F07Q10336766,B,0.0012,0.0016
F07Q10336774,H,0.0236,0.0267
F07Q10336781,C,0.0015,0.002
F07Q10336877,B,0.0012,0.0016
F07Q10336927,A,0.0005,0.0008
F07Q10336962,D,0.0025,0.0031
F07Q10336965,F,0.0098,0.011
F07Q10336981,A,0.0005,0.0008
F07Q10337014,H,0.0236,0.0267
F07Q10337020,D,0.0025,0.0031
F07Q10337033,F,0.0098,0.011
F07Q10337067,D,0.0025,0.0031
F07Q10337088,F,0.0098,0.011
F07Q10337163,D,0.0025,0.0031
F07Q10337233,B,0.0012,0.0016
F07Q10337238,B,0.0012,0.0016
F07Q10337266,F,0.0098,0.011
F07Q10337299,H,0.0236,0.0267
F07Q10337383,D,0.0025,0.0031
F07Q10337400,G,0.0129,0.0143
F07Q10337553,G,0.0129,0.0143
F07Q10337867,B,0.0012,0.0016
F07Q10337895,G,0.0129,0.0143
F07Q10337948,B,0.0012,0.0016
F07Q10337959,C,0.0015,0.002
F07Q10337991,E,0.006,0.0069
F07Q10338018,C,0.0015,0.002
F07Q10338032,F,0.0098,0.011
F07Q10338054,G,0.0129,0.0143
F07Q10338066,F,0.0098,0.011
F07Q10340124,E,0.006,0.0069
F07Q10341807,F,0.0098,0.011
F07Q10341904,C,0.0015,0.002
F07Q10341920,B,0.0012,0.0016
F07Q10341921,H,0.0236,0.0267
F07Q10341932,H,0.0236,0.0267
F07Q10341971,G,0.0129,0.0143
F07Q10341990,G,0.0129,0.0143
F07Q10342010,E,0.006,0.0069
F07Q10342017,E,0.006,0.0069
F07Q10342039,H,0.0236,0.0267
F07Q10342090,H,0.0236,0.0267
F07Q10342097,G,0.0129,0.0143
F07Q10342101,F,0.0098,0.011
F07Q10342147,F,0.0098,0.011
F07Q10342181,H,0.0236,0.0267
F07Q10342189,H,0.0236,0.0267
F07Q10342272,H,0.0236,0.0267
F07Q10342288,H,0.0236,0.0267
F07Q10342290,F,0.0098,0.011
F07Q10342297,G,0.0129,0.0143
F07Q10342298,F,0.0098,0.011
F07Q10342299,F,0.0098,0.011
F07Q10342365,F,0.0098,0.011
F07Q10342394,G,0.0129,0.0143
F07Q10342404,E,0.006,0.0069
F07Q10342416,B,0.0012,0.0016
F07Q10342512,H,0.0236,0.0267
F07Q10342705,C,0.0015,0.002
F07Q10342749,F,0.0098,0.011
F07Q10342750,H,0.0236,0.0267
F07Q10342761,D,0.0025,0.0031
F07Q10342803,H,0.0236,0.0267
F07Q10342805,F,0.0098,0.011
F07Q10342870,D,0.0025,0.0031
F07Q10342959,G,0.0129,0.0143
F07Q10343008,G,0.0129,0.0143
F07Q10343027,H,0.0236,0.0267
F07Q10343056,C,0.0015,0.002
F07Q10343067,H,0.0236,0.0267
F07Q10343079,D,0.0025,0.0031
F07Q10343091,H,0.0236,0.0267
F07Q10343104,F,0.0098,0.011
F07Q10343127,E,0.006,0.0069
F07Q10343169,H,0.0236,0.0267
F07Q10343172,G,0.0129,0.0143
F07Q10343198,G,0.0129,0.0143
F07Q10343212,G,0.0129,0.0143
F07Q10343247,F,0.0098,0.011
F07Q10343258,C,0.0015,0.002
F07Q10343306,A,0.0005,0.0008
F07Q10343309,H,0.0236,0.0267
F07Q10343322,C,0.0015,0.002
F07Q10343338,D,0.0025,0.0031
F07Q10343351,H,0.0236,0.0267
F07Q10343373,E,0.006,0.0069
F07Q10343392,E,0.006,0.0069
F07Q10343395,D,0.0025,0.0031
F07Q10343432,E,0.006,0.0069
F07Q10343440,G,0.0129,0.0143
F07Q10343443,B,0.0012,0.0016
F07Q10343458,H,0.0236,0.0267
F07Q10343526,G,0.0129,0.0143
F07Q10343555,F,0.0098,0.011
F07Q10343584,G,0.0129,0.0143
F07Q10343672,G,0.0129,0.0143
F07Q10343699,G,0.0129,0.0143
F07Q10343700,F,0.0098,0.011
F07Q10343707,E,0.006,0.0069
F07Q10343711,E,0.006,0.0069
F07Q10343715,B,0.0012,0.0016
F07Q10343879,E,0.006,0.0069
F07Q10343885,C,0.0015,0.002
F07Q10343920,E,0.006,0.0069
F07Q10343934,H,0.0236,0.0267
F07Q10343968,E,0.006,0.0069
F07Q10344007,G,0.0129,0.0143
