loan_sequence_number,grade,grade_pd_longrun,grade_pd_final
F08Q40001798,H,0.0236,0.0267
F08Q40001800,C,0.0015,0.002
F08Q40001837,D,0.0025,0.0031
F08Q40001875,C,0.0015,0.002
F08Q40001881,H,0.0236,0.0267
F08Q40001892,H,0.0236,0.0267
F08Q40001905,C,0.0015,0.002
F08Q40001948,B,0.0012,0.0016
F08Q40001952,D,0.0025,0.0031
F08Q40001955,E,0.006,0.0069
F08Q40001967,A,0.0005,0.0008
F08Q40001971,D,0.0025,0.0031
F08Q40001981,D,0.0025,0.0031
F08Q40002022,G,0.0129,0.0143
F08Q40002024,C,0.0015,0.002
F08Q40002027,G,0.0129,0.0143
F08Q40002048,F,0.0098,0.011
F08Q40002089,C,0.0015,0.002
F08Q40002102,C,0.0015,0.002
F08Q40002116,C,0.0015,0.002
F08Q40002122,D,0.0025,0.0031
F08Q40002148,B,0.0012,0.0016
F08Q40002158,E,0.006,0.0069
F08Q40002260,C,0.0015,0.002
F08Q40002261,G,0.0129,0.0143
F08Q40002273,A,0.0005,0.0008
F08Q40002283,H,0.0236,0.0267
F08Q40002313,E,0.006,0.0069
F08Q40002366,H,0.0236,0.0267
F08Q40002393,D,0.0025,0.0031
F08Q40002401,C,0.0015,0.002
F08Q40002403,C,0.0015,0.002
F08Q40002407,B,0.0012,0.0016
F08Q40002419,H,0.0236,0.0267
F08Q40002432,A,0.0005,0.0008
F08Q40002515,D,0.0025,0.0031
F08Q40002518,F,0.0098,0.011
F08Q40002524,D,0.0025,0.0031
F08Q40002528,H,0.0236,0.0267
F08Q40002566,D,0.0025,0.0031
F08Q40002573,G,0.0129,0.0143
F08Q40002575,G,0.0129,0.0143
F08Q40002592,B,0.0012,0.0016
F08Q40002609,G,0.0129,0.0143
F08Q40002614,A,0.0005,0.0008
F08Q40002617,C,0.0015,0.002
F08Q40002623,D,0.0025,0.0031
F08Q40002637,A,0.0005,0.0008
F08Q40002662,B,0.0012,0.0016
F08Q40002705,D,0.0025,0.0031
F08Q40002748,F,0.0098,0.011
F08Q40002752,H,0.0236,0.0267
F08Q40002766,C,0.0015,0.002
F08Q40002779,G,0.0129,0.0143
F08Q40002785,C,0.0015,0.002
F08Q40002798,H,0.0236,0.0267
F08Q40002833,C,0.0015,0.002
F08Q40002853,H,0.0236,0.0267
F08Q40002895,F,0.0098,0.011
F08Q40002898,A,0.0005,0.0008
F08Q40002912,D,0.0025,0.0031
F08Q40002913,D,0.0025,0.0031
F08Q40002934,G,0.0129,0.0143
F08Q40002937,E,0.006,0.0069
F08Q40002981,A,0.0005,0.0008
F08Q40003003,E,0.006,0.0069
F08Q40003010,G,0.0129,0.0143
F08Q40003013,F,0.0098,0.011
F08Q40003031,G,0.0129,0.0143
F08Q40003050,D,0.0025,0.0031
F08Q40003064,D,0.0025,0.0031
F08Q40003071,D,0.0025,0.0031
F08Q40003098,A,0.0005,0.0008
F08Q40003103,B,0.0012,0.0016
F08Q40003128,C,0.0015,0.002
F08Q40003163,H,0.0236,0.0267
F08Q40003165,C,0.0015,0.002
F08Q40003188,C,0.0015,0.002
F08Q40003190,H,0.0236,0.0267
F08Q40003197,E,0.006,0.0069
F08Q40003200,B,0.0012,0.0016
F08Q40003217,G,0.0129,0.0143
F08Q40003227,C,0.0015,0.002
F08Q40003251,C,0.0015,0.002
F08Q40003273,D,0.0025,0.0031
F08Q40003275,A,0.0005,0.0008
F08Q40003288,B,0.0012,0.0016
F08Q40003304,H,0.0236,0.0267
F08Q40003339,B,0.0012,0.0016
F08Q40003344,D,0.0025,0.0031
F08Q40003371,H,0.0236,0.0267
F08Q40003391,E,0.006,0.0069
F08Q40003420,H,0.0236,0.0267
F08Q40003425,G,0.0129,0.0143
F08Q40003453,B,0.0012,0.0016
F08Q40003513,E,0.006,0.0069
F08Q40003576,E,0.006,0.0069
F08Q40003614,C,0.0015,0.002
F08Q40003684,A,0.0005,0.0008
F08Q40003687,H,0.0236,0.0267
F08Q40003689,H,0.0236,0.0267
F08Q40003694,B,0.0012,0.0016
F08Q40003698,B,0.0012,0.0016
F08Q40003701,C,0.0015,0.002
F08Q40003737,E,0.006,0.0069
F08Q40003771,C,0.0015,0.002
F08Q40003777,H,0.0236,0.0267
F08Q40003780,H,0.0236,0.0267
F08Q40003787,E,0.006,0.0069
F08Q40003794,B,0.0012,0.0016
F08Q40003796,A,0.0005,0.0008
F08Q40003799,F,0.0098,0.011
F08Q40003825,H,0.0236,0.0267
F08Q40003831,A,0.0005,0.0008
F08Q40003860,B,0.0012,0.0016
F08Q40003867,F,0.0098,0.011
F08Q40003888,D,0.0025,0.0031
F08Q40003907,F,0.0098,0.011
F08Q40003912,H,0.0236,0.0267
F08Q40003950,A,0.0005,0.0008
F08Q40003987,F,0.0098,0.011
F08Q40004015,B,0.0012,0.0016
F08Q40004024,B,0.0012,0.0016
F08Q40004053,B,0.0012,0.0016
F08Q40004069,F,0.0098,0.011
F08Q40004088,A,0.0005,0.0008
F08Q40004091,B,0.0012,0.0016
F08Q40004098,E,0.006,0.0069
F08Q40004108,A,0.0005,0.0008
F08Q40004119,E,0.006,0.0069
F08Q40004153,B,0.0012,0.0016
F08Q40004157,C,0.0015,0.002
F08Q40004188,E,0.006,0.0069
F08Q40004209,F,0.0098,0.011
F08Q40004228,G,0.0129,0.0143
F08Q40004242,G,0.0129,0.0143
F08Q40004264,D,0.0025,0.0031
F08Q40004286,A,0.0005,0.0008
F08Q40004293,B,0.0012,0.0016
F08Q40004308,C,0.0015,0.002
F08Q40004346,G,0.0129,0.0143
F08Q40004376,C,0.0015,0.002
F08Q40004378,G,0.0129,0.0143
F08Q40004412,B,0.0012,0.0016
F08Q40004428,F,0.0098,0.011
F08Q40004434,G,0.0129,0.0143
F08Q40004495,H,0.0236,0.0267
F08Q40004522,A,0.0005,0.0008
F08Q40004528,D,0.0025,0.0031
F08Q40004534,B,0.0012,0.0016
F08Q40004546,A,0.0005,0.0008
F08Q40004598,D,0.0025,0.0031
F08Q40004599,H,0.0236,0.0267
